"Date (dd/mm/yy)","Generated (kWh)","Efficiency (kWh/kW)","Exported (kWh)","Peak Power (kW)","Peak Time (hh:mm:am/pm)","Weather Conditions (category)"
18/02/19,61.378,4.3839999999999995,36.75,12.218,11:55AM,Fine
17/02/19,41.888999999999996,2.992,15.868,12.216,11:10AM,Partly Cloudy
16/02/19,58.457,4.176,35.052,12.167,11:50AM,Fine
15/02/19,43.441,3.103,24.813000000000002,11.402999999999999,11:30AM,Partly Cloudy
14/02/19,1.59,0.114,,0.627,12:00PM,Showers
13/02/19,20.941999999999997,1.496,6.067,10.127,10:55AM,Cloudy
12/02/19,58.577,4.184,36.727,10.652000000000001,11:30AM,Fine
11/02/19,71.86,5.132999999999999,55.34,11.482999999999999,12:05PM,Fine
10/02/19,25.092,1.7919999999999998,3.9010000000000002,9.477,9:45AM,Mostly Cloudy
09/02/19,36.163000000000004,2.583,21.642,12.206,1:20PM,Partly Cloudy
08/02/19,69.377,4.956,45.199,11.267999999999999,11:55AM,Fine
07/02/19,68.903,4.922,44.536,11.107000000000001,12:10PM,Fine
06/02/19,69.753,4.982,44.847,11.397,12:25PM,Fine
05/02/19,26.011999999999997,1.858,9.71,10.880999999999998,11:50AM,Mostly Cloudy
04/02/19,15.832,1.131,1.175,8.046,10:20AM,Cloudy
03/02/19,23.636999999999997,1.6880000000000002,6.1129999999999995,9.878,10:20AM,Mostly Cloudy
02/02/19,10.534,0.752,,4.09,12:15PM,Showers
01/02/19,32.486,2.32,13.722999999999999,11.823,11:50AM,Partly Cloudy
31/01/19,31.621,2.259,19.457,10.43,12:15PM,Mostly Cloudy
30/01/19,40.448,2.889,27.842,10.222000000000001,11:25AM,Partly Cloudy
29/01/19,44.211999999999996,3.158,24.855,10.349,2:05PM,Partly Cloudy
28/01/19,36.709,2.622,22.14,10.614,11:30AM,Partly Cloudy
27/01/19,56.408,4.029,24.82,10.357999999999999,12:35PM,Fine
26/01/19,57.77,4.126,40.187,10.888,12:35PM,Fine
25/01/19,57.073,4.077,42.553999999999995,10.464,12:35PM,Fine
24/01/19,47.885,3.42,35.698,10.78,12:15PM,Partly Cloudy
23/01/19,56.619,4.044,38.674,10.452,12:25PM,Fine
22/01/19,53.827,3.845,37.916,11.213,12:35PM,Fine
21/01/19,57.523,4.109,41.501999999999995,10.913,12:35PM,Fine
20/01/19,40.948,2.925,24.447,9.265,12:10PM,Partly Cloudy
19/01/19,54.992,3.928,29.159000000000002,10.464,12:35PM,Fine
18/01/19,33.541,2.396,15.505999999999998,11.161,1:30PM,Partly Cloudy
17/01/19,13.792,0.985,4.44,3.4219999999999997,11:25AM,Cloudy
16/01/19,32.672,2.334,19.371,10.822000000000001,12:35PM,Mostly Cloudy
15/01/19,18.657,1.3330000000000002,5.104,10.669,12:35PM,Cloudy
14/01/19,4.37,0.312,16,1.9580000000000002,11:25AM,Showers
13/01/19,32.454,2.318,18.852999999999998,9.988999999999999,12:30PM,Mostly Cloudy
12/01/19,24.561999999999998,1.754,8.561,11.179,1:25PM,Mostly Cloudy
11/01/19,33.864000000000004,2.419,15.991,10.232000000000001,2:00PM,Partly Cloudy
10/01/19,48.661,3.4760000000000004,31.397,9.851,12:30PM,Partly Cloudy
09/01/19,48.331,3.452,36.133,9.849,12:50PM,Partly Cloudy
08/01/19,42.732,3.052,35.765,10.123,1:20PM,Partly Cloudy
07/01/19,48.312,3.451,38.0,9.94,12:30PM,Partly Cloudy
06/01/19,34.775,2.484,17.352999999999998,10.655,12:40PM,Partly Cloudy
05/01/19,136,0.7170000000000001,136,2.64,11:15AM,Showers
04/01/19,48.963,3.497,,9.987,12:50PM,Fine
03/01/19,49.0,3.5,,9.986,12:30PM,Fine
02/01/19,48.915,3.4939999999999998,,191000000000001,12:45PM,Fine
01/01/19,51.606,3.6860000000000004,51.606,10.636,12:30PM,Fine
31/12/18,9.074,0.648,0.679,5.32,11:15AM,Showers
30/12/18,46.678999999999995,3.3339999999999996,28.754,9.72,12:45PM,Fine
29/12/18,47.993,3.428,31.195,143,12:50PM,Fine
28/12/18,49.018,3.5010000000000003,30.423000000000002,176,12:25PM,Fine
27/12/18,33.181,2.37,14.329,11.238,12:20PM,Partly Cloudy
26/12/18,45.68,3.263,29.840999999999998,9.74,12:40PM,Partly Cloudy
25/12/18,12.882,0.92,4.271,11.158,1:25PM,Cloudy
24/12/18,44.019,3.1439999999999997,32.978,9.385,12:30PM,Partly Cloudy
23/12/18,41.291000000000004,2.949,31.844,9.905,12:30PM,Partly Cloudy
22/12/18,41.98,2.9989999999999997,27.386,9.835,1:05PM,Partly Cloudy
21/12/18,18.887,1.349,8.269,4.54,2:30PM,Cloudy
20/12/18,42.5,3.036,34.701,9.902000000000001,12:30PM,Partly Cloudy
19/12/18,44.788000000000004,3.199,35.961999999999996,9.467,12:30PM,Partly Cloudy
18/12/18,44.614,3.187,37.045,9.407,12:35PM,Partly Cloudy
17/12/18,46.938,3.353,31.601,10.199,12:20PM,Fine
16/12/18,45.08,3.22,36.146,9.463,12:50PM,Partly Cloudy
15/12/18,44.935,3.21,34.975,9.406,12:40PM,Partly Cloudy
14/12/18,18.227999999999998,1.3019999999999998,2.063,5.699,12:55PM,Cloudy
13/12/18,46.327,3.3089999999999997,36.02,9.715,12:40PM,Partly Cloudy
12/12/18,42.765,3.055,36.643,9.719,1:10PM,Partly Cloudy
11/12/18,45.848,3.275,45.848,9.461,12:15PM,Partly Cloudy
10/12/18,17.999000000000002,1.286,,4.301,11:20AM,Cloudy
09/12/18,35.178000000000004,2.513,,9.654,12:35PM,Partly Cloudy
08/12/18,46.898,3.35,,9.589,12:35PM,Fine
07/12/18,45.476000000000006,3.248,45.143,10.787,12:25PM,Fine
06/12/18,13.297,0.95,4.507,5.968999999999999,11:45AM,Cloudy
05/12/18,9.948,0.711,3.635,3.7569999999999997,8:45AM,Showers
04/12/18,44.864,3.205,37.241,10.917,12:15PM,Partly Cloudy
03/12/18,48.794,3.485,40.698,9.875,12:30PM,Fine
02/12/18,48.794,3.485,31.396,10.177,12:20PM,Fine
01/12/18,29.539,2.11,19.042,10.868,12:05PM,Mostly Cloudy
30/11/18,27.215,1.944,16.027,11.775,12:35PM,Mostly Cloudy
29/11/18,6.965,0.498,0.41200000000000003,2.553,2:55PM,Showers
28/11/18,46.29600000000001,3.307,39.239000000000004,9.87,12:30PM,Partly Cloudy
27/11/18,47.575,3.398,41.206,9.706,12:10PM,Partly Cloudy
26/11/18,51.924,3.7089999999999996,44.798,10.209,12:10PM,Partly Cloudy
25/11/18,49.121,3.509,37.051,9.68,12:10PM,Partly Cloudy
24/11/18,30.366999999999997,2.169,15.825,11.743,12:25PM,Mostly Cloudy
23/11/18,45.107,3.222,33.116,11.44,12:15PM,Partly Cloudy
22/11/18,36.239000000000004,2.589,19.160999999999998,11.254000000000001,11:40AM,Partly Cloudy
21/11/18,46.386,3.313,38.406,9.562999999999999,12:00PM,Partly Cloudy
20/11/18,49.342,3.5239999999999996,41.751000000000005,9.45,12:10PM,Partly Cloudy
19/11/18,32.321,2.309,24.155,9.861,12:00PM,Mostly Cloudy
18/11/18,52.176,3.727,36.354,9.64,12:05PM,Partly Cloudy
17/11/18,46.453,3.318,33.016999999999996,9.976,12:15PM,Partly Cloudy
16/11/18,53.18,3.799,43.8,9.906,12:05PM,Fine
15/11/18,46.151,3.2969999999999997,38.641999999999996,9.847000000000001,12:15PM,Partly Cloudy
14/11/18,58.29,4.164,49.416000000000004,10.414000000000001,12:05PM,Fine
13/11/18,54.033,3.86,46.364,11.285,12:00PM,Fine
12/11/18,61.542,4.396,53.873999999999995,10.794,12:15PM,Fine
11/11/18,54.36,3.883,40.685,9.713,11:55AM,Fine
10/11/18,58.795,4.2,44.81100000000001,10.145,11:50AM,Fine
09/11/18,60.673,4.334,51.203,10.36,12:00PM,Fine
08/11/18,58.093999999999994,4.15,50.405,9.967,11:25AM,Fine
07/11/18,59.341,4.239,49.162,9.947000000000001,11:30AM,Fine
06/11/18,60.513999999999996,4.322,52.56399999999999,157,11:50AM,Fine
05/11/18,61.181000000000004,4.37,49.114,18,11:35AM,Fine
