DateTime,Generated,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2019-10-18 14:00:00+00:00,0.008733726156927591,14.7,-102,0.0,10.8,21,59,10,31,14.5,77.2,0.0,976.7,262,0.5,88
2019-09-23 17:15:00+00:00,0.6706453641381559,24.8,-128,0.0,15.5,98,922,643,741,15.9,56.3,0.0,979.5,243,2.5,46
2019-09-20 13:15:00+00:00,0.0002328993641847358,15.6,-86,0.0,10.3,2,6,1,3,10.6,70.7,0.0,976.5,5,0.8,93
2019-05-19 13:00:00+00:00,0.00014750293065033266,10.9,-69,36.0,8.6,18,11,2,20,20.7,85.3,0.0,961.0,263,2.8,87
2019-09-13 15:30:00+00:00,0.3768816327798092,26.2,-103,0.0,11.5,86,776,342,428,12.7,39.9,0.0,979.2,304,0.8,64
2019-07-23 02:30:00+00:00,0.0035905318645146765,25.4,67,4.3,16.5,15,38,6,21,42.2,57.8,0.0,979.0,264,2.3,88
2019-08-05 01:45:00+00:00,0.041933530521461676,27.2,75,0.0,13.7,49,426,75,124,21.9,43.6,0.0,978.3,273,2.9,80
2019-05-30 14:45:00+00:00,0.09394384019998292,15.1,-80,0.0,11.7,92,719,308,400,14.7,79.9,0.0,961.5,294,1.5,65
2019-07-08 01:30:00+00:00,0.11531623852000217,20.9,72,0.0,11.4,49,710,183,232,13.4,54.4,0.0,979.3,234,3.1,75
2019-08-01 20:00:00+00:00,0.8215757970980739,30.3,167,0.0,13.9,128,938,907,1035,22.5,36.9,0.0,980.1,277,3.8,15
2019-07-18 22:45:00+00:00,0.6514311665929152,26.7,95,0.0,13.1,107,872,655,762,19.1,42.9,0.0,978.1,265,3.9,41
2019-09-05 14:30:00+00:00,0.03637888068565573,26.2,-91,35.6,16.4,114,74,19,132,40.1,54.9,0.0,978.7,180,0.7,75
2019-09-17 18:30:00+00:00,0.6567762070009548,26.8,-150,0.0,8.2,107,957,795,902,16.1,30.8,0.0,979.8,232,2.8,34
2019-09-12 02:15:00+00:00,0.0002328993641847358,22.1,81,0.0,14.5,0,0,0,0,15.3,62.2,0.0,978.3,297,2.1,95
